thumb,youtube,title,episode,transcript
https://lexfridman.com/files/thumbs_ai_podcast/ben_askren.png,https://www.youtube.com/watch?v=tApj7Q37P2k,Wrestling and MMA,https://lexfridman.com/ben-askren,
https://lexfridman.com/files/thumbs_ai_podcast/boris_sofman.png,https://www.youtube.com/watch?v=U_AREIyd0Fc,"Waymo, Cozmo, Self-Driving Cars, and the Future of Robotics",https://lexfridman.com/boris-sofman,
https://lexfridman.com/files/thumbs_ai_podcast/neal_stephenson.png,https://www.youtube.com/watch?v=xAfdSak2fs8,"Sci-Fi, Space, Aliens, AI, VR & the Future of Humanity",https://lexfridman.com/neal-stephenson,
https://lexfridman.com/files/thumbs_ai_podcast/niall_ferguson.png,https://www.youtube.com/watch?v=xF6x1ftN-H4,"History of Money, Power, War, and Truth",https://lexfridman.com/niall-ferguson,
https://lexfridman.com/files/thumbs_ai_podcast/francis_collins.png,https://www.youtube.com/watch?v=mRZE-SJShkE,National Institutes of Health (NIH),https://lexfridman.com/francis-collins,
https://lexfridman.com/files/thumbs_ai_podcast/steve_viscelli.png,https://www.youtube.com/watch?v=a3Wpy6gE4So,Trucking and the Decline of the American Dream,https://lexfridman.com/steve-viscelli,
https://lexfridman.com/files/thumbs_ai_podcast/jimmy_pedro.png,https://www.youtube.com/watch?v=uy1fX2vOAEE,Judo and the Forging of Champions,https://lexfridman.com/jimmy-pedro,
https://lexfridman.com/files/thumbs_ai_podcast/michael_mina_2.png,https://www.youtube.com/watch?v=80OvNaEgmmw,Rapid COVID Testing,https://lexfridman.com/michael-mina-2,
https://lexfridman.com/files/thumbs_ai_podcast/stephen_wolfram_3.png,https://www.youtube.com/watch?v=4-SGpEInX_c,Complexity and the Fabric of Reality,https://lexfridman.com/stephen-wolfram-3,
https://lexfridman.com/files/thumbs_ai_podcast/carl_hart.png,https://www.youtube.com/watch?v=3LWNY70Oj4A,"Heroin, Cocaine, MDMA, Alcohol & the Role of Drugs in Society",https://lexfridman.com/carl-hart,
https://lexfridman.com/files/thumbs_ai_podcast/brian_greene.png,https://www.youtube.com/watch?v=98HZanvAJ8Y,"Quantum Gravity, The Big Bang, Aliens, Death, and Meaning",https://lexfridman.com/brian-greene,
https://lexfridman.com/files/thumbs_ai_podcast/alex_gladstein.png,https://www.youtube.com/watch?v=kSbMU5CbFM0,"Bitcoin, Authoritarianism, and Human Rights",https://lexfridman.com/alex-gladstein,
https://lexfridman.com/files/thumbs_ai_podcast/kelsi_sheren.png,https://www.youtube.com/watch?v=PbN3HzKkW4M,"War, Artillery, PTSD, and Love",https://lexfridman.com/kelsi-sheren,
https://lexfridman.com/files/thumbs_ai_podcast/richard_wrangham.png,https://www.youtube.com/watch?v=YJF01_ztxwY,"Violence, Sex, and Fire in Human Evolution",https://lexfridman.com/richard-wrangham,
https://lexfridman.com/files/thumbs_ai_podcast/rza.png,https://www.youtube.com/watch?v=Iau6W5pjy9Y,"Wu-Tang Clan, Kung Fu, Chess, God, Life, and Death",https://lexfridman.com/rza,
https://lexfridman.com/files/thumbs_ai_podcast/sean_kelly.png,https://www.youtube.com/watch?v=cC1HszE5Hcw,"Existentialism, Nihilism, and the Search for Meaning",https://lexfridman.com/sean-kelly,
https://lexfridman.com/files/thumbs_ai_podcast/jo_boaler.png,https://www.youtube.com/watch?v=KZnGSVwIpeU,How to Learn Math,https://lexfridman.com/jo-boaler,
https://lexfridman.com/files/thumbs_ai_podcast/jeffrey_shainline.png,https://www.youtube.com/watch?v=EwueqdgIvq4,Neuromorphic Computing and Optoelectronic Intelligence,https://lexfridman.com/jeffrey-shainline,
https://lexfridman.com/files/thumbs_ai_podcast/travis_oliphant.png,https://www.youtube.com/watch?v=gFEE3w7F0ww,"NumPy, SciPy, Anaconda, Python & Scientific Programming",https://lexfridman.com/travis-oliphant,
https://lexfridman.com/files/thumbs_ai_podcast/travis_stevens.png,https://www.youtube.com/watch?v=uiNpESmPioQ,"Judo, Olympics, and Mental Toughness",https://lexfridman.com/travis-stevens,
https://lexfridman.com/files/thumbs_ai_podcast/jay_mcclelland.png,https://www.youtube.com/watch?v=Ui38ZzTymDY,Neural Networks and the Emergence of Cognition,https://lexfridman.com/jay-mcclelland,
https://lexfridman.com/files/thumbs_ai_podcast/douglas_lenat.png,https://www.youtube.com/watch?v=3wMKoSRbGVs,Cyc and the Quest to Solve Common Sense Reasoning in AI,https://lexfridman.com/douglas-lenat,
https://lexfridman.com/files/thumbs_ai_podcast/niels_jorgensen.png,https://www.youtube.com/watch?v=hZenJc1fa70,New York Firefighters and the Heroes of 9/11,https://lexfridman.com/niels-jorgensen,
https://lexfridman.com/files/thumbs_ai_podcast/donald_knuth_2.png,https://www.youtube.com/watch?v=EE1R8FYUJm0,"Programming, Algorithms, Hard Problems & the Game of Life",https://lexfridman.com/donald-knuth-2,
https://lexfridman.com/files/thumbs_ai_podcast/jaron_lanier.png,https://www.youtube.com/watch?v=Fx0G6DHMfXM,"Virtual Reality, Social Media & the Future of Humans and AI",https://lexfridman.com/jaron-lanier,
https://lexfridman.com/files/thumbs_ai_podcast/rodney_brooks.png,https://www.youtube.com/watch?v=nre0QT9LN6w,Robotics,https://lexfridman.com/rodney-brooks,
https://lexfridman.com/files/thumbs_ai_podcast/vincent_racaniello.png,https://www.youtube.com/watch?v=G433fa01oMU,Viruses and Vaccines,https://lexfridman.com/vincent-racaniello,
https://lexfridman.com/files/thumbs_ai_podcast/wojciech_zaremba.png,https://www.youtube.com/watch?v=U5OD8MjYnOM,"OpenAI Codex, GPT-3, Robotics, and the Future of AI",https://lexfridman.com/wojciech-zaremba,
https://lexfridman.com/files/thumbs_ai_podcast/jed_buchwald.png,https://www.youtube.com/watch?v=TRdL6ZzWBS0,Isaac Newton and the Philosophy of Science,https://lexfridman.com/jed-buchwald,
https://lexfridman.com/files/thumbs_ai_podcast/barry_barish.png,https://www.youtube.com/watch?v=J48bm21q8_A,Gravitational Waves and the Most Precise Device Ever Built,https://lexfridman.com/barry-barish,
https://lexfridman.com/files/thumbs_ai_podcast/joscha_bach_2.png,https://www.youtube.com/watch?v=rIpUf-Vy2JA,"Nature of Reality, Dreams, and Consciousness",https://lexfridman.com/joscha-bach-2,
https://lexfridman.com/files/thumbs_ai_podcast/brian_muraresku.png,https://www.youtube.com/watch?v=oYQh1ZNkC70,The Secret History of Psychedelics,https://lexfridman.com/brian-muraresku,
https://lexfridman.com/files/thumbs_ai_podcast/matt_walker.png,https://www.youtube.com/watch?v=Hc4XvHTlW3s,Sleep,https://lexfridman.com/matt-walker,
https://lexfridman.com/files/thumbs_ai_podcast/luis_and_joao_batalha.png,https://www.youtube.com/watch?v=ndMahzDCH1Y,Fermat's Library and the Art of Studying Papers,https://lexfridman.com/luis-and-joao-batalha,
https://lexfridman.com/files/thumbs_ai_podcast/jeff_hawkins_2.png,https://www.youtube.com/watch?v=Z1KwkpTUbkg,The Thousand Brains Theory of Intelligence,https://lexfridman.com/jeff-hawkins-2,
https://lexfridman.com/files/thumbs_ai_podcast/chris_duffin.png,https://www.youtube.com/watch?v=e4Bet29PVPY,The Mad Scientist of Strength,https://lexfridman.com/chris-duffin,
https://lexfridman.com/files/thumbs_ai_podcast/ishan_misra.png,https://www.youtube.com/watch?v=FUS6ceIvUnI,Self-Supervised Deep Learning in Computer Vision,https://lexfridman.com/ishan-misra,
https://lexfridman.com/files/thumbs_ai_podcast/zach_bitter.png,https://www.youtube.com/watch?v=0RTWSJAqTPg,Ultramarathon Running,https://lexfridman.com/zach-bitter,
https://lexfridman.com/files/thumbs_ai_podcast/cumrun_vafa.png,https://www.youtube.com/watch?v=j4_VyRDOmN4,String Theory,https://lexfridman.com/cumrun-vafa,
https://lexfridman.com/files/thumbs_ai_podcast/anya_fernald.png,https://www.youtube.com/watch?v=ew8U43IXTfk,Regenerative Farming and the Art of Cooking Meat,https://lexfridman.com/anya-fernald,
https://lexfridman.com/files/thumbs_ai_podcast/rick_doblin.png,https://www.youtube.com/watch?v=2tUiLxtrLxk,Psychedelics,https://lexfridman.com/rick-doblin,
https://lexfridman.com/files/thumbs_ai_podcast/konstantin_batygin.png,https://www.youtube.com/watch?v=tm7poMupE8k,Planet 9 and the Edge of Our Solar System,https://lexfridman.com/konstantin-batygin,
